timestamp,value,obis,id,source
2019-05,0.0000,1-1:5.8.1,38157930,EdmRegisterWertExport_20190503_eslevu_20190503050535.xml
2019-05,0.0000,1-1:5.8.2,38157930,EdmRegisterWertExport_20190503_eslevu_20190503050535.xml
2019-05,0.0000,1-1:6.8.1,38157930,EdmRegisterWertExport_20190503_eslevu_20190503050535.xml
2019-05,0.0000,1-1:6.8.2,38157930,EdmRegisterWertExport_20190503_eslevu_20190503050535.xml
2019-05,0.0000,1-1:7.8.1,38157930,EdmRegisterWertExport_20190503_eslevu_20190503050535.xml
2019-05,0.0000,1-1:7.8.2,38157930,EdmRegisterWertExport_20190503_eslevu_20190503050535.xml
2019-05,0.0000,1-1:8.8.1,38157930,EdmRegisterWertExport_20190503_eslevu_20190503050535.xml
2019-05,0.0000,1-1:8.8.2,38157930,EdmRegisterWertExport_20190503_eslevu_20190503050535.xml
2019-05-16T06:00:00,0.0000,1-1:1.6.2,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-05-25T10:30:00,0.0000,1-1:2.6.2,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-05-29T07:15:00,0.0000,1-1:1.6.1,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-05-30T13:15:00,0.0000,1-1:2.6.1,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-06,93245.8000,1-1:1.8.1,38157930,EdmRegisterWertExport_20190603_eslevu_20190603050602.xml
2019-06,111185.5000,1-1:1.8.2,38157930,EdmRegisterWertExport_20190603_eslevu_20190603050602.xml
2019-06,55888.2000,1-1:2.8.1,38157930,EdmRegisterWertExport_20190603_eslevu_20190603050602.xml
2019-06,59716.2000,1-1:2.8.2,38157930,EdmRegisterWertExport_20190603_eslevu_20190603050602.xml
2019-06,0.0000,1-1:5.8.1,38157930,EdmRegisterWertExport_20190603_eslevu_20190603050602.xml
2019-06,0.0000,1-1:5.8.2,38157930,EdmRegisterWertExport_20190603_eslevu_20190603050602.xml
2019-06,0.0000,1-1:6.8.1,38157930,EdmRegisterWertExport_20190603_eslevu_20190603050602.xml
2019-06,0.0000,1-1:6.8.2,38157930,EdmRegisterWertExport_20190603_eslevu_20190603050602.xml
2019-06,0.0000,1-1:7.8.1,38157930,EdmRegisterWertExport_20190603_eslevu_20190603050602.xml
2019-06,0.0000,1-1:7.8.2,38157930,EdmRegisterWertExport_20190603_eslevu_20190603050602.xml
2019-06,0.0000,1-1:8.8.1,38157930,EdmRegisterWertExport_20190603_eslevu_20190603050602.xml
2019-06,0.0000,1-1:8.8.2,38157930,EdmRegisterWertExport_20190603_eslevu_20190603050602.xml
2019-06-12T07:30:00,0.0000,1-1:1.6.1,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-06-13T00:15:00,0.0000,1-1:1.6.2,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-06-16T13:45:00,0.0000,1-1:2.6.1,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-06-16T13:45:00,0.0000,1-1:2.6.2,38157930,EdmRegisterWertExport_20190803_eslevu_20190803050817.xml
2019-07,118282.0000,1-1:1.8.1,38157930,EdmRegisterWertExport_20190703_eslevu_20190703050743.xml
2019-07,136778.3000,1-1:1.8.2,38157930,EdmRegisterWertExport_20190703_eslevu_20190703050743.xml
2019-07,68533.3000,1-1:2.8.1,38157930,EdmRegisterWertExport_20190703_eslevu_20190703050743.xml
2019-07,72534.0000,1-1:2.8.2,38157930,EdmRegisterWertExport_20190703_eslevu_20190703050743.xml
2019-07,0.0000,1-1:5.8.1,38157930,EdmRegisterWertExport_20190703_eslevu_20190703050743.xml
2019-07,0.0000,1-1:5.8.2,38157930,EdmRegisterWertExport_20190703_eslevu_20190703050743.xml
